//////////// EXTRASUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// EXTRASUNNY_SMOG_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
70 70 70	95 95 95	186 184 182		22 7 24		45 30 21	85 85 0		1 0 0		1.92	0.52	0.2	174	64 		45	2198	227	0.88		90 53 46	91 80 77	0 15 23 219			127 	42 29 22		127 	5 1 1		0 			220 0 0
//5AM
77 77 77	95 95 95	205 192 154		26 14 13	61 20 14	19 19 19	82 40 0		1.56	0.38	0.2	123	99 		0	2198	498	0.88		30 20 0		3 3 3		2 10 12 220			127 	42 33 22		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	255 230 202		99 168 188	255 178 38	255 255 0	219 109 0	2.04	0.34	0.2	255	99 		0	2196	495	0.76		30 20 0		3 3 3		16 64 51 220			127 	35 35 24		127 	6 2 2		0 			120 0 1
//7AM
200 192 183	90 90 90	255 233 203		130 176 255	208 176 68	255 128 0	255 128 0	2.52	0.2	0.2	255	100 		0	1048	65472	0.62		100 34 25	120 92 88	51 79 91 219			127 	54 46 34		127 	8 3 3		0 			180 0 1
//Midday
187 181 171	100 100 100	255 248 213		75 146 254	138 183 180	254 127 0	254 125 38	2.68	0.2	0.2	255	0 		40	1048	75	0.5		114 81 78	119 111 110	14 111 128 219			0 	53 43 32		127 	18 7 7		0 			180 0 1
//7PM
189 186 167	100 100 100	254 249 207		51 173 252	81 177 189	253 178 101	253 138 14	1.62	0.2	0.2	227	0 		119	1870	65535	0.5		119 99 99	119 119 119	46 151 123 219			127 	43 39 35		127 	11 4 4		0 			140 0 1
//8PM
182 176 163	100 100 100	255 249 206		51 181 252	123 149 122	254 189 122	254 142 7	1.76	0.36	0.2	221	0 		120	987	32	0.52		120 100 100	120 120 120	56 157 119 219			127 	44 39 33		127 	9 2 2		0 			140 0 1
//10PM
48 48 48	95 95 95	233 153 80		255 83 0	255 139 0	99 62 25	122 50 50	1.42	0.5	0.8	201	30 		68	987	22	0.94		120 70 70	135 119 114	37 46 36 219			127 	62 40 34		127 	6 1 1		0 			90 0 1
//
//////////// SUNNY_SMOG_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// CLOUDY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
91 91 91	95 95 95	170 132 87		0 6 15		28 22 31	39 20 0		45 20 8		1.92	0.32	0.2	174	64 		45	2349	228	0.98		90 53 46	0 0 17		0 32 45 219			127 	34 40 48		127 	3 1 1		0 			220 0 0
//5AM
90 90 90	95 95 95	154 154 120		2 7 16		28 23 31	191 100 0	138 68 0	0.2	0.32	0.2	122	98 		0	2021	22	1		8 6 2		0 0 22		0 50 57 220			127 	35 37 33		127 	5 2 2		0 			90 0 1
//6AM
143 143 143	95 95 95	216 225 255		3 7 16		26 41 44	255 134 0	183 91 0	0.2	0.32	0.2	123	99 		0	2007	65	1.02		3 3 3		0 0 24		21 75 83 219			127 	42 43 29		127 	7 3 3		0 			120 0 1
//7AM
121 119 139	95 95 95	255 255 255		99 168 188	147 135 100	156 156 91	157 106 56	1.36	0.34	0.2	123	99 		0	2021	4	1.08		255 233 169	185 168 80	43 101 109 219			127 	50 50 26		127 	9 3 3		0 			180 0 1
//Midday
167 160 159	100 100 100	249 249 249		196 198 219	138 167 167	254 127 0	254 125 36	2.66	0.2	0.2	188	0 		60	1023	65472	0.32		203 177 174	224 219 172	28 113 120 219			0 	54 40 28		127 	18 7 7		0 			180 0 1
//7PM
219 219 161	100 100 100	250 242 186		159 175 174	154 204 222	188 94 0	173 83 36	1.62	0.2	0.2	227	0 		119	2021	65497	0.3		142 124 124	252 248 232	46 150 119 219			127 	45 38 26		127 	12 5 5		0 			140 0 1
//8PM
233 233 164	100 100 100	255 240 128		133 149 148	127 203 176	176 88 0	157 76 33	2.26	0.36	0.2	221	0 		120	1297	291	0.32		120 100 100	255 250 237	56 159 120 220			127 	49 35 11		127 	11 4 4		0 			140 0 1
//10PM
92 92 92	95 95 95	233 153 80		111 52 49	249 102 90	79 40 0		86 41 17	2.5	0.34	0.2	201	30 		68	1275	5	0.8		255 149 117	141 0 29	0 25 41 219			127 	43 10 8			127 	7 2 2		0 			90 0 1
//
//////////// SUNNY_SF
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// EXTRASUNNY_SF
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
70 70 70	95 95 95	186 184 182		22 7 24		45 30 21	85 85 0		1 0 0		1.92	0.52	0.2	174	64 		45	2198	227	0.88		90 53 46	91 80 77	0 15 23 219			127 	42 29 22		127 	5 1 1		0 			220 0 0
//5AM
77 77 77	95 95 95	205 192 154		26 14 13	61 20 14	19 19 19	82 40 0		1.56	0.38	0.2	123	99 		0	2198	498	0.88		30 20 0		3 3 3		2 10 12 220			127 	42 33 22		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	255 230 202		99 168 188	255 178 38	255 255 0	219 109 0	2.04	0.34	0.2	255	99 		0	2196	495	0.76		30 20 0		3 3 3		16 64 51 220			127 	35 35 24		127 	6 2 2		0 			120 0 1
//7AM
200 192 183	90 90 90	255 233 203		130 176 255	208 176 68	255 128 0	255 128 0	2.52	0.2	0.2	255	100 		0	1048	65472	0.62		100 34 25	120 92 88	51 79 91 219			127 	54 46 34		127 	8 3 3		0 			180 0 1
//Midday
187 181 171	100 100 100	255 248 213		75 146 254	138 183 180	254 127 0	254 125 38	2.68	0.2	0.2	255	0 		40	1048	75	0.5		114 81 78	119 111 110	14 111 128 219			0 	53 43 32		127 	18 7 7		0 			180 0 1
//7PM
189 186 167	100 100 100	254 249 207		51 173 252	81 177 189	253 178 101	253 138 14	1.62	0.2	0.2	227	0 		119	1870	65535	0.5		119 99 99	119 119 119	46 151 123 219			127 	43 39 35		127 	11 4 4		0 			140 0 1
//8PM
182 176 163	100 100 100	255 249 206		51 181 252	123 149 122	254 189 122	254 142 7	1.76	0.36	0.2	221	0 		120	987	32	0.52		120 100 100	120 120 120	56 157 119 219			127 	44 39 33		127 	9 2 2		0 			140 0 1
//10PM
48 48 48	95 95 95	233 153 80		255 83 0	255 139 0	99 62 25	122 50 50	1.42	0.5	0.8	201	30 		68	987	22	0.94		120 70 70	135 119 114	37 46 36 219			127 	62 40 34		127 	6 1 1		0 			90 0 1
//
//////////// CLOUDY_SF
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
91 91 91	95 95 95	170 132 87		0 6 15		28 22 31	39 20 0		45 20 8		1.92	0.32	0.2	174	64 		45	2349	228	0.98		90 53 46	0 0 17		0 32 45 219			127 	34 40 48		127 	3 1 1		0 			220 0 0
//5AM
90 90 90	95 95 95	154 154 120		2 7 16		28 23 31	191 100 0	138 68 0	0.2	0.32	0.2	122	98 		0	2021	22	1		8 6 2		0 0 22		0 50 57 220			127 	35 37 33		127 	5 2 2		0 			90 0 1
//6AM
143 143 143	95 95 95	216 225 255		3 7 16		26 41 44	255 134 0	183 91 0	0.2	0.32	0.2	123	99 		0	2007	65	1.02		3 3 3		0 0 24		21 75 83 219			127 	42 43 29		127 	7 3 3		0 			120 0 1
//7AM
121 119 139	95 95 95	255 255 255		99 168 188	147 135 100	156 156 91	157 106 56	1.36	0.34	0.2	123	99 		0	2021	4	1.08		255 233 169	185 168 80	43 101 109 219			127 	50 50 26		127 	9 3 3		0 			180 0 1
//Midday
167 160 159	100 100 100	249 249 249		196 198 219	138 167 167	254 127 0	254 125 36	2.66	0.2	0.2	188	0 		60	1023	65472	0.32		203 177 174	224 219 172	28 113 120 219			0 	54 40 28		127 	18 7 7		0 			180 0 1
//7PM
219 219 161	100 100 100	250 242 186		159 175 174	154 204 222	188 94 0	173 83 36	1.62	0.2	0.2	227	0 		119	2021	65497	0.3		142 124 124	252 248 232	46 150 119 219			127 	45 38 26		127 	12 5 5		0 			140 0 1
//8PM
233 233 164	100 100 100	255 240 128		133 149 148	127 203 176	176 88 0	157 76 33	2.26	0.36	0.2	221	0 		120	1297	291	0.32		120 100 100	255 250 237	56 159 120 220			127 	49 35 11		127 	11 4 4		0 			140 0 1
//10PM
92 92 92	95 95 95	233 153 80		111 52 49	249 102 90	79 40 0		86 41 17	2.5	0.34	0.2	201	30 		68	1275	5	0.8		255 149 117	141 0 29	0 25 41 219			127 	43 10 8			127 	7 2 2		0 			90 0 1
//
//////////// RAINY_SF
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
74 74 94	95 95 95	231 233 239		40 39 43	13 27 24	100 98 10	10 6 6		0.64	0.44	0.2	174	64 		45	824	18	0.54		90 53 46	2 2 17		8 45 39 219			127 	32 32 41		127 	3 1 1		0 			220 0 0
//5AM
79 79 100	95 95 95	255 255 255		20 21 21	18 21 40	255 255 0	165 81 0	0.2	0.44	0.2	122	98 		0	2100	100	0.76		147 110 0	13 13 13	30 84 88 220			127 	43 43 37		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	240 241 241		142 147 152	255 221 112	255 255 0	219 109 0	0.64	0.34	0.2	123	99 		0	947	9	0.62		187 140 0	144 130 62	43 96 102 220			127 	46 46 46		127 	7 3 3		0 			120 0 1
//7AM
97 97 104	90 90 90	226 228 228		141 147 151	139 125 78	255 197 139	255 178 100	2.52	0.2	0.2	139	100 		0	1295	100	0.46		100 34 25	152 140 73	49 99 105 220			127 	33 31 16		127 	9 3 3		0 			180 0 1
//Midday
126 121 117	100 100 100	156 163 163		138 147 150	150 141 112	254 146 39	254 138 66	2.68	0.2	0.2	188	0 		60	1000	65508	0.44		210 188 185	195 191 131	79 117 120 219			0 	44 33 14		127 	18 7 7		0 			180 0 1
//7PM
126 126 125	100 100 100	233 235 235		134 148 148	165 163 160	253 127 0	253 123 53	1.78	0.2	0.2	227	0 		119	2100	99	0.44		142 124 124	247 222 138	45 104 84 219			127 	39 38 20		127 	12 4 4		0 			140 0 1
//8PM
127 127 127	100 100 100	255 255 255		134 149 148	168 167 167	254 128 0	254 124 54	1.72	0.36	0.2	221	0 		120	1089	0	0.44		120 100 100	255 225 136	36 101 76 219			127 	39 39 21		127 	10 3 3		0 			140 0 1
//10PM
62 60 61	95 95 95	242 198 159		76 73 81	84 74 28	62 50 38	68 53 53	1.1	0.44	4.92	201	30 		68	1113	5	0.46		120 70 70	70 70 131	0 30 20 219			127 	34 31 33		127 	7 2 2		0 			90 0 1
//
//////////// FOGGY_SF
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
76 76 68	95 95 95	210 208 162		0 9 17		31 29 38	154 140 0	64 0 0		1.92	0.32	0.2	174	64 		45	871	10	0.58		90 53 46	91 80 77	7 15 19 219			127 	17 48 58		127 	1 0 39		0 			220 0 0
//5AM
76 76 68	95 95 95	173 168 122		2 6 14		26 28 36	179 99 0	86 42 0		0.2	0.32	0.2	122	98 		0	1987	316	0.56		30 20 0		3 3 3		0 13 15 220			127 	17 48 58		127 	5 2 11		0 			90 0 1
//6AM
76 76 68	95 95 95	166 160 115		45 58 57	105 86 60	154 48 0	113 56 0	1.8	0.32	0.2	123	99 		0	957	65513	0.52		30 20 0		3 3 3		51 32 21 220			127 	17 48 59		127 	7 3 3		0 			120 0 1
//7AM
82 81 94	95 95 95	255 230 202		135 176 166	255 200 112	255 255 0	219 109 0	0.2	0.34	0.2	123	99 		0	1980	240	0.48		30 20 0		3 3 3		2 111 125 220			127 	33 37 18		127 	9 3 41		0 			180 0 1
//Midday
199 191 183	100 100 100	254 247 231		167 208 219	189 178 135	254 127 0	254 125 36	2.08	0.2	0.2	255	0 		60	927	65472	0.26		113 77 74	119 110 109	0 137 147 219			0 	59 52 41		127 	18 7 18		0 			180 0 1
//7PM
255 255 211	100 100 100	255 245 169		164 211 211	162 162 125	254 128 0	254 124 54	1.62	0.2	0.2	254	0 		119	1510	65500	0.26		120 100 100	120 120 120	48 156 124 219			127 	38 35 30		127 	4 1 43		0 			140 0 1
//8PM
151 150 99	100 100 100	255 240 217		132 198 255	255 212 103	254 128 0	254 62 27	2.06	0.36	0.2	255	0 		120	883	65494	0.28		120 85 85	127 119 117	145 146 64 219			127 	53 32 3			127 	3 0 42		0 			140 0 1
//10PM
77 76 69	95 95 95	225 225 178		0 11 19		56 45 44	53 26 0		123 0 0		1	0.34	0.2	201	30 		68	901	65500	0.88		120 70 70	135 119 114	10 16 21 219			127 	18 49 58		127 	2 0 40		0 			90 0 1
//
//////////// SUNNY_VEGAS
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// EXTRASUNNY_VEGAS
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
70 70 70	95 95 95	186 184 182		22 7 24		45 30 21	85 85 0		1 0 0		1.92	0.52	0.2	174	64 		45	2198	227	0.88		90 53 46	91 80 77	0 15 23 219			127 	42 29 22		127 	5 1 1		0 			220 0 0
//5AM
77 77 77	95 95 95	205 192 154		26 14 13	61 20 14	19 19 19	82 40 0		1.56	0.38	0.2	123	99 		0	2198	498	0.88		30 20 0		3 3 3		2 10 12 220			127 	42 33 22		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	255 230 202		99 168 188	255 178 38	255 255 0	219 109 0	2.04	0.34	0.2	255	99 		0	2196	495	0.76		30 20 0		3 3 3		16 64 51 220			127 	35 35 24		127 	6 2 2		0 			120 0 1
//7AM
200 192 183	90 90 90	255 233 203		130 176 255	208 176 68	255 128 0	255 128 0	2.52	0.2	0.2	255	100 		0	1048	65472	0.62		100 34 25	120 92 88	51 79 91 219			127 	54 46 34		127 	8 3 3		0 			180 0 1
//Midday
187 181 171	100 100 100	255 248 213		75 146 254	138 183 180	254 127 0	254 125 38	2.68	0.2	0.2	255	0 		40	1048	75	0.5		114 81 78	119 111 110	14 111 128 219			0 	53 43 32		127 	18 7 7		0 			180 0 1
//7PM
189 186 167	100 100 100	254 249 207		51 173 252	81 177 189	253 178 101	253 138 14	1.62	0.2	0.2	227	0 		119	1870	65535	0.5		119 99 99	119 119 119	46 151 123 219			127 	43 39 35		127 	11 4 4		0 			140 0 1
//8PM
182 176 163	100 100 100	255 249 206		51 181 252	123 149 122	254 189 122	254 142 7	1.76	0.36	0.2	221	0 		120	987	32	0.52		120 100 100	120 120 120	56 157 119 219			127 	44 39 33		127 	9 2 2		0 			140 0 1
//10PM
48 48 48	95 95 95	233 153 80		255 83 0	255 139 0	99 62 25	122 50 50	1.42	0.5	0.8	201	30 		68	987	22	0.94		120 70 70	135 119 114	37 46 36 219			127 	62 40 34		127 	6 1 1		0 			90 0 1
//
